instance,---,--L,-P-,H--,-PL,H-L,HP-,HPL
tree_lg_1,131.3,83.6,47.9,64.9,28.5,40.7,27.7,19.8
tree_lg_2,137.2,64.4,40.4,51.2,25.0,32.5,25.2,17.4
tree_lg_3,186.2,80.3,46.6,65.5,22.2,45.1,23.7,16.4
tree_lg_4,203.5,92.1,64.8,74.9,30.6,42.3,33.9,22.9
tree_lg_5,133.5,66.0,40.2,49.3,23.5,35.0,27.7,15.4
tree_lg_6,116.9,73.2,34.2,47.3,17.9,26.7,19.3,12.7
tree_lg_7,105.8,56.9,31.0,47.1,17.1,28.8,19.5,11.0
tree_lg_8,142.2,82.7,48.4,61.6,29.3,41.1,26.0,19.6
tree_lg_9,158.4,102.7,58.3,62.1,35.7,39.5,29.7,20.4
tree_lg_10,157.2,66.2,61.0,63.1,29.6,35.4,33.6,18.4
tree_lg_11,128.6,58.9,50.6,57.4,25.3,30.2,24.3,18.0
tree_lg_12,132.1,73.8,58.5,50.8,38.6,35.9,27.2,18.8
tree_lg_13,207.3,105.6,71.7,70.2,35.4,43.6,33.7,24.4
tree_lg_14,247.6,79.7,72.2,69.1,29.9,45.5,40.9,24.7
tree_lg_15,161.6,72.7,49.4,80.0,28.4,33.5,23.5,19.8
tree_lg_16,169.3,101.5,59.8,63.7,34.7,47.2,30.0,24.9
tree_lg_17,126.5,71.9,40.6,52.5,25.6,33.9,25.5,15.0
tree_lg_18,120.5,82.7,37.8,61.7,26.6,39.2,25.5,18.6
tree_lg_19,126.5,71.2,41.1,50.3,23.2,33.5,19.8,15.7
tree_lg_20,122.7,53.8,26.0,38.3,16.3,22.8,19.6,12.7
tree_lg_21,163.2,86.6,70.8,68.2,37.3,40.2,32.2,23.5
tree_lg_22,139.7,68.7,40.7,49.0,23.3,30.6,21.9,14.2
tree_lg_23,102.5,67.1,45.1,45.6,35.2,32.9,25.2,17.0
tree_lg_24,225.2,75.1,65.2,58.2,30.1,37.5,26.4,18.2
tree_lg_25,187.2,86.5,81.0,65.0,34.0,39.0,36.6,23.8
vornoi_medium_lg_1,531.4,337.7,433.9,271.1,215.7,101.9,115.0,72.2
vornoi_medium_lg_2,902.6,592.5,625.7,256.7,338.4,177.1,143.9,125.4
vornoi_medium_lg_3,835.1,360.7,744.5,214.7,339.3,83.4,156.1,62.5
vornoi_medium_lg_4,1032.0,613.8,965.3,88.7,498.5,79.5,80.3,71.7
vornoi_medium_lg_5,838.9,519.4,597.0,170.2,286.1,58.9,146.2,74.3
vornoi_medium_lg_6,1004.4,637.4,868.2,146.5,445.5,61.2,80.8,48.4
vornoi_medium_lg_7,1273.2,818.6,947.6,201.7,332.8,182.1,111.5,93.5
vornoi_medium_lg_8,1065.9,610.0,912.3,87.9,437.1,63.9,73.2,86.8
vornoi_medium_lg_9,1520.6,679.9,1169.1,314.8,510.4,163.7,161.4,154.7
vornoi_medium_lg_10,533.2,335.5,501.9,121.0,235.6,81.9,83.3,77.5
vornoi_medium_lg_11,1090.4,701.9,988.3,216.1,493.1,145.7,122.0,78.1
vornoi_medium_lg_12,1133.7,499.0,940.2,114.1,425.5,85.3,146.1,147.8
vornoi_medium_lg_13,1080.2,515.3,731.2,82.4,430.3,84.2,72.4,62.0
vornoi_medium_lg_14,1621.0,770.5,912.9,381.8,367.2,231.5,221.1,221.3
vornoi_medium_lg_15,1305.6,791.4,988.3,138.0,591.0,142.2,128.6,74.7
vornoi_medium_lg_16,1101.7,594.1,948.7,244.3,492.6,142.9,137.2,118.8
vornoi_medium_lg_17,2787.5,1592.0,1948.5,343.8,1128.3,214.1,342.0,266.2
vornoi_medium_lg_18,1914.1,1084.6,1705.9,143.7,761.8,94.9,86.5,130.2
vornoi_medium_lg_19,1236.9,877.3,1249.0,149.0,487.8,106.7,98.2,95.6
vornoi_medium_lg_20,2322.3,1234.5,2599.3,270.6,1329.5,238.5,191.7,123.2
vornoi_medium_lg_21,1592.9,866.2,1549.3,276.6,718.0,273.1,251.5,172.1
vornoi_medium_lg_22,1076.9,795.4,974.0,180.9,697.1,137.3,149.5,111.6
vornoi_medium_lg_23,2560.6,1518.0,2781.3,578.1,864.9,352.0,390.0,281.4
vornoi_medium_lg_24,1758.4,1055.8,1548.5,198.9,779.9,201.3,268.5,117.8
vornoi_medium_lg_25,2064.1,889.1,1698.6,333.1,719.3,125.6,154.3,184.1
vornoi_medium_lg_26,2963.1,1447.0,2604.2,273.4,1174.7,177.3,296.2,155.6
vornoi_medium_lg_27,1910.2,1066.7,1784.8,104.6,750.1,96.7,92.3,90.5
vornoi_medium_lg_28,2469.5,1504.9,2361.7,357.5,1383.3,299.2,408.8,245.8
vornoi_medium_lg_29,3006.0,1977.0,2680.6,222.7,1449.1,336.5,322.7,186.1
vornoi_medium_lg_30,3519.3,1879.3,3060.3,609.3,1411.3,337.8,318.8,222.7
vornoi_medium_lg_31,3802.7,2399.5,3631.8,470.0,1818.3,243.6,428.1,349.7
vornoi_medium_lg_32,1604.5,1199.0,2016.5,82.6,923.6,86.3,90.0,80.9
vornoi_medium_lg_33,4537.4,2716.6,4127.1,631.1,2056.0,367.4,593.1,274.4
vornoi_medium_lg_34,1911.0,1327.9,1596.0,302.7,1248.0,104.0,155.5,148.0
vornoi_medium_lg_35,1419.4,998.0,1508.8,137.0,902.7,146.9,176.4,123.8
vornoi_medium_lg_36,3329.9,1614.7,3769.3,607.2,1468.2,413.2,658.2,269.7
vornoi_medium_lg_37,2212.3,1371.2,1791.9,321.6,1088.1,266.1,343.0,184.6
vornoi_medium_lg_38,2146.0,1178.1,1547.4,512.7,997.4,331.5,416.8,267.7
vornoi_medium_lg_39,2980.0,1854.4,3815.4,719.4,1487.3,435.7,731.6,400.3
vornoi_large_lg_1,3971.0,2147.3,3994.5,869.4,2446.6,557.5,519.5,494.0
vornoi_large_lg_2,4960.3,2240.5,3898.3,127.9,1467.4,114.6,115.8,91.5
vornoi_large_lg_3,1493.2,796.1,1908.5,247.1,612.5,230.8,266.5,200.3
vornoi_large_lg_4,4717.9,2996.2,4563.5,1320.6,2229.9,605.1,770.7,419.0
vornoi_large_lg_5,1913.6,1229.6,1603.5,569.6,693.1,353.5,465.5,218.2
vornoi_large_lg_6,1505.4,817.7,1927.4,194.6,795.0,140.4,85.2,79.3
vornoi_large_lg_7,2888.3,1299.3,2754.8,359.3,1220.7,302.7,253.1,189.8
vornoi_large_lg_8,4303.2,2307.3,4629.8,835.1,2306.2,606.6,944.2,563.9
vornoi_large_lg_9,4102.7,2629.3,3524.2,548.6,1719.8,232.8,504.4,326.7
vornoi_large_lg_10,2952.7,1535.1,2485.5,345.2,1386.7,414.9,318.8,230.3
vornoi_large_lg_11,8323.8,4435.2,8596.7,739.6,5542.4,343.1,341.6,525.3
